罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2023/2/6,13,道路上,男性,70歳以上,あり
窃盗,ひったくり,大和,中央林間,142131,神奈川県,大和市,中央林間４丁目,2023/7/14,11,その他,女性,70歳以上,あり
窃盗,ひったくり,大和,福田,142131,神奈川県,大和市,福田,2023/12/7,23,道路上,女性,20歳代,あり
窃盗,ひったくり,大和,福田,142131,神奈川県,大和市,渋谷６丁目,2023/3/15,12,その他,女性,70歳以上,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,鶴間１丁目,2023/3/3,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間８丁目,2023/9/15,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,大和,,141186,神奈川県,横浜市都筑区,茅ケ崎中央,2022/12/15,10,その他,女性,70歳以上,あり
窃盗,ひったくり,大和,,141372,神奈川県,川崎市麻生区,上麻生１丁目,2023/3/29,11,その他,女性,70歳以上,あり
窃盗,ひったくり,戸塚,下倉田,141101,神奈川県,横浜市戸塚区,上倉田町,2023/12/18,23,道路上,男性,20歳代,なし
窃盗,ひったくり,旭,左近山,141127,神奈川県,横浜市旭区,左近山,2023/6/15,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,加賀町,尾上町,141046,神奈川県,横浜市中区,港町２丁目,2023/6/14,17,その他,女性,30歳代,あり
窃盗,ひったくり,加賀町,本町,141046,神奈川県,横浜市中区,南仲通１丁目,2023/4/16,0,道路上,女性,50歳代,あり
窃盗,ひったくり,磯子,丸山,141071,神奈川県,横浜市磯子区,滝頭３丁目,2023/6/22,13,道路上,女性,70歳以上,なし
窃盗,ひったくり,磯子,岡村,141071,神奈川県,横浜市磯子区,岡村５丁目,2023/3/3,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,伊勢佐木,伊勢佐木町,141046,神奈川県,横浜市中区,曙町１丁目,2023/5/21,15,道路上,男性,65-69歳,なし
窃盗,ひったくり,戸部,みなとみらい,141038,神奈川県,横浜市西区,みなとみらい２丁目,2023/5/10,20,道路上,女性,20歳代,あり
窃盗,ひったくり,戸部,岡野,141038,神奈川県,横浜市西区,岡野１丁目,2023/2/2,21,道路上,女性,70歳以上,あり
窃盗,ひったくり,神奈川,三ツ沢,141020,神奈川県,横浜市神奈川区,三ツ沢中町,2023/2/8,20,道路上,女性,70歳以上,あり
窃盗,ひったくり,神奈川,東神奈川駅前,141020,神奈川県,横浜市神奈川区,新町,2023/2/11,21,道路上,男性,40歳代,なし
窃盗,ひったくり,神奈川,神之木,141020,神奈川県,横浜市神奈川区,神之木町,2023/2/23,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,神奈川,神之木,141020,神奈川県,横浜市神奈川区,神之木町,2023/9/5,6,道路上,男性,50歳代,なし
窃盗,ひったくり,鶴見,上末吉,141011,神奈川県,横浜市鶴見区,上末吉５丁目,2023/8/11,19,道路上,男性,50歳代,あり
窃盗,ひったくり,鶴見,別所,141011,神奈川県,横浜市鶴見区,北寺尾１丁目,2023/12/25,13,道路上,男性,70歳以上,あり
窃盗,ひったくり,鶴見,市場,141011,神奈川県,横浜市鶴見区,平安町１丁目,2023/5/30,21,道路上,女性,10歳代,なし
窃盗,ひったくり,鶴見,矢向駅前,141011,神奈川県,横浜市鶴見区,矢向３丁目,2023/8/8,17,道路上,男性,65-69歳,あり
窃盗,ひったくり,鶴見,矢向駅前,141011,神奈川県,横浜市鶴見区,矢向４丁目,2023/11/11,12,道路上,女性,70歳以上,あり
窃盗,ひったくり,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央１丁目,2023/3/13,10,その他,女性,70歳以上,あり
窃盗,ひったくり,鶴見,鶴見駅前,141011,神奈川県,横浜市鶴見区,鶴見中央３丁目,2023/8/30,23,道路上,男性,70歳以上,なし
窃盗,ひったくり,緑,長津田駅前,141135,神奈川県,横浜市緑区,長津田１丁目,2023/7/24,3,道路上,男性,60-64歳,あり
窃盗,ひったくり,港北,吉田口,141097,神奈川県,横浜市港北区,新吉田東６丁目,2023/9/5,7,道路上,女性,40歳代,あり
窃盗,ひったくり,港北,小机,141097,神奈川県,横浜市港北区,小机町,2023/2/26,8,道路上,女性,50歳代,なし
窃盗,ひったくり,港北,樽町,141097,神奈川県,横浜市港北区,樽町３丁目,2023/9/3,19,道路上,男性,20歳代,あり
窃盗,ひったくり,青葉,たまプラーザ駅前,141178,神奈川県,横浜市青葉区,美しが丘４丁目,2023/9/12,18,道路上,男性,20歳代,なし
窃盗,ひったくり,川崎,南町,141313,神奈川県,川崎市川崎区,日進町,2023/2/5,12,道路上,男性,70歳以上,あり
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2023/5/4,17,道路上,男性,70歳以上,あり
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島３丁目,2023/5/19,8,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,大島町,141313,神奈川県,川崎市川崎区,大島４丁目,2023/8/3,19,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,川崎駅前,141313,神奈川県,川崎市川崎区,小川町,2023/7/30,20,その他,女性,20歳代,あり
窃盗,ひったくり,川崎,浅田,141313,神奈川県,川崎市川崎区,,2023/11/23,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎,渡田,141313,神奈川県,川崎市川崎区,渡田１丁目,2023/2/22,21,道路上,男性,70歳以上,あり
窃盗,ひったくり,川崎,藤崎,141313,神奈川県,川崎市川崎区,藤崎４丁目,2023/8/10,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,,2023/9/4,16,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎臨港,浜町,141313,神奈川県,川崎市川崎区,桜本２丁目,2023/8/12,13,道路上,女性,70歳以上,あり
窃盗,ひったくり,川崎臨港,鋼管通,141313,神奈川県,川崎市川崎区,鋼管通１丁目,2023/8/16,8,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,中丸子,141330,神奈川県,川崎市中原区,中丸子,2023/8/11,15,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,武蔵中原駅前,141330,神奈川県,川崎市中原区,今井仲町,2023/9/2,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,中原,武蔵新城駅前,141330,神奈川県,川崎市中原区,新城中町,2023/8/12,14,道路上,女性,50歳代,なし
窃盗,ひったくり,高津,二子新地駅前,141348,神奈川県,川崎市高津区,二子１丁目,2023/4/18,0,道路上,女性,20歳代,あり
窃盗,ひったくり,多摩,菅,141356,神奈川県,川崎市多摩区,菅北浦３丁目,2023/7/31,16,道路上,女性,10歳代,なし
窃盗,ひったくり,藤沢北,善行,142051,神奈川県,藤沢市,善行団地,2023/2/18,10,道路上,女性,70歳以上,あり
窃盗,ひったくり,藤沢,川名,142051,神奈川県,藤沢市,南藤沢,2023/8/11,15,道路上,男性,65-69歳,あり
窃盗,ひったくり,藤沢,片瀬江の島,142051,神奈川県,藤沢市,片瀬海岸２丁目,2023/10/20,17,道路上,女性,60-64歳,あり
窃盗,ひったくり,藤沢,藤沢駅北口,142051,神奈川県,藤沢市,藤沢,2023/5/2,21,道路上,女性,40歳代,あり
窃盗,ひったくり,茅ケ崎,南湖,142077,神奈川県,茅ヶ崎市,南湖４丁目,2023/8/19,23,道路上,女性,40歳代,あり
窃盗,ひったくり,大磯,大磯駅前,143413,神奈川県,大磯町,大磯,2023/7/24,11,道路上,女性,70歳以上,あり
窃盗,ひったくり,厚木,妻田,142123,神奈川県,厚木市,妻田東３丁目,2023/10/10,5,その他,女性,70歳以上,あり
窃盗,ひったくり,厚木,妻田,142123,神奈川県,厚木市,妻田南１丁目,2023/9/27,4,道路上,女性,70歳以上,あり
窃盗,ひったくり,厚木,旭町,142123,神奈川県,厚木市,旭町５丁目,2023/6/18,0,その他,女性,40歳代,あり
窃盗,ひったくり,相模原,淵野辺駅北口,141526,神奈川県,相模原市中央区,淵野辺２丁目,2023/9/15,15,道路上,女性,70歳以上,なし
窃盗,ひったくり,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2023/11/3,23,道路上,女性,20歳代,なし
窃盗,ひったくり,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2023/6/17,6,道路上,女性,70歳以上,あり
窃盗,ひったくり,相模原南,大沼,141534,神奈川県,相模原市南区,御園２丁目,2023/7/11,17,道路上,女性,70歳以上,あり
窃盗,ひったくり,海老名,さがみ野駅前,142158,神奈川県,海老名市,東柏ケ谷４丁目,2023/8/27,5,その他,女性,20歳代,あり
窃盗,ひったくり,海老名,海老名駅前,142158,神奈川県,海老名市,国分南１丁目,2023/2/19,23,道路上,男性,20歳代,なし
窃盗,ひったくり,海老名,海老名駅前,142158,神奈川県,海老名市,国分南３丁目,2023/8/20,23,道路上,女性,20歳代,あり
窃盗,ひったくり,相模原北,橋本五差路,141518,神奈川県,相模原市緑区,橋本台１丁目,2023/9/11,15,その他,女性,70歳以上,あり
